precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORAŞCU IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","POP DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CURUŢU DAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŞOŞOI ŞTEFAN-PETRE-PARTIDUL NAȚIONAL LIBERAL-voturi","COPACI ALIN-CRISTINEL-PARTIDUL S.O.S. ROMÂNIA-voturi","GRIGORIE PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ” NICOLAE TOMOVICI PLOPȘOR” PLOPȘORU",265,PLOPŞORU,81264,3,PART,PRCNCT,P,P_SV,"2024-06-13 13:06:33",1885,1860,0,10,15,1248,1223,0,10,15,1225,23,2000,752,9,411,23,485,5,292
20,GORJ,"ȘCOALA GIMNAZIALĂ PISCURI",267,PLOPŞORU,81264,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:57",1025,1009,1,7,8,724,709,0,7,8,707,17,1100,376,3,82,6,279,1,336
20,GORJ,"ȘCOALA PRIMARĂ BROȘTENI",266,PLOPŞORU,81264,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:23:10",808,795,1,0,12,538,526,0,0,12,517,21,900,362,13,128,32,173,2,169
20,GORJ,"ȘCOALA PRIMARĂ VĂLENI",268,PLOPŞORU,81264,2,PART,PRCNCT,P,P_SV,"2024-06-12 14:38:12",1550,1539,2,0,9,909,900,0,0,9,871,38,1748,839,46,181,76,352,7,209
