precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RISTEA JAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEAGU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COMĂNEANU PETRE-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,2,PART,PRCNCT,P,P_SV,"2024-06-11 10:36:11",1064,1034,0,18,12,861,831,0,18,12,854,7,1140,279,261,564,29
19,GIURGIU,"SCOALA GIMNAZIALA NR.1 VALEA DRAGULUI",231,"VALEA DRAGULUI",105776,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:14:06",1166,1116,0,20,30,978,928,0,20,30,961,17,1256,278,471,433,57
