precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÎRGĂ CLAUDIU-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂTRAŞCU NICUŞOR-IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","BOTEA CONSTANŢA-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL NOU-DÎRVARI",157,DÂRVARI,111550,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:59:23",1137,1009,0,39,89,763,635,0,39,89,737,26,1219,456,699,2,36
27,MEHEDINŢI,"CĂMINUL CULTURAL VECHI-GEMENI",158,DÂRVARI,111550,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:46",877,801,0,33,43,613,537,0,33,43,613,0,940,327,610,1,2
