precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VAIDA NICOLAE-voturi"
5,BIHOR,"CĂMINUL CULTURAL",276,BUDUREASA,27846,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:33:59",319,310,0,4,5,240,231,0,4,5,228,12,341,101,122,38,5,24,39
5,BIHOR,"CĂMINUL CULTURAL",274,BUDUREASA,27846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:08",847,820,3,9,15,646,621,1,9,15,620,26,905,259,221,210,89,43,57
5,BIHOR,"CĂMINUL CULTURAL",278,BUDUREASA,27846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:19",198,191,0,7,0,155,148,0,7,0,151,4,207,52,81,62,2,5,1
5,BIHOR,"CĂMINUL CULTURAL",277,BUDUREASA,27846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:17",163,160,0,3,0,129,126,0,3,0,126,3,173,44,82,35,1,6,2
5,BIHOR,"CĂMINUL CULTURAL",279,BUDUREASA,27846,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:09:34",124,120,0,1,3,101,97,0,1,3,99,2,132,31,69,28,0,2,0
5,BIHOR,"ȘCOALA I-IV BUDUREASA",275,BUDUREASA,27846,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:05",464,458,0,6,0,401,395,0,6,0,328,73,518,117,130,123,12,38,25
