precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIURDAŞ SOFINEL-LUCIAN-LONGHIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIURDAŞ TRAIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
32,"SATU MARE","PRIMARIA BÂRSĂU",135,BÂRSĂU,137103,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:06",1370,1269,0,58,43,964,863,0,58,43,928,36,1171,207,460,468
32,"SATU MARE","SEDIU ADMINISTRATIV",136,BÂRSĂU,137103,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:11",511,479,1,17,14,320,288,1,17,14,313,7,800,480,169,144
