precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","GANEA DENIS-NARCIS-voturi","CERNIA IOAN-voturi","DELVAI ION-voturi"
37,TIMIŞ,"CASA DE CULTURĂ",418,GIARMATA,157246,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:31:24",1714,1696,5,11,2,919,905,1,11,2,886,25,1752,841,29,387,10,173,146,20,11,58,4,19,7,10,12
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT GIARMATA",416,GIARMATA,157246,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:57",1679,1669,1,8,1,802,792,1,8,1,767,35,2002,1200,3,398,4,108,149,8,11,37,14,20,1,0,14
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ GIARMATA",417,GIARMATA,157246,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:04:08",1829,1803,12,13,1,892,876,2,13,1,864,26,1900,1008,11,397,4,124,150,7,32,68,3,21,4,17,26
37,TIMIŞ,"ŞCOALA PRIMARĂ CERNETEAZ",419,GIARMATA,157246,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:04",1261,1255,4,1,1,622,620,0,1,1,580,42,1400,778,3,303,4,54,96,33,3,53,4,14,1,6,6
