precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TABACU NICU-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA IONUŢ-SABIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU ION-UNIUNEA SALVAȚI ROMÂNIA-voturi","POPESCU SORIN-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"SCOALA CU CLASELE I-IV CIUTURA",525,"VÂRVORU DE JOS",74750,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:31",571,535,1,5,30,390,355,0,5,30,371,19,600,210,58,7,6,300
17,DOLJ,"ŞCOALA CU CLASELE I-IV VÎRVOR",526,"VÂRVORU DE JOS",74750,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:18:44",527,496,2,8,21,332,303,0,8,21,315,17,600,268,113,3,2,197
17,DOLJ,"ŞCOALA CU CLASELE I-VIII VÎRVORU DE JOS",524,"VÂRVORU DE JOS",74750,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:13:34",953,892,1,11,49,620,562,0,11,47,596,24,1017,397,291,34,5,266
