precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HARPA DANIEL-VASILICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","LAVRIC SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MELINTE LUCIA-ROMÂNIA SOCIALISTĂ-voturi","CUCU RALUCA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","APOSTOL MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGURIŢĂ CLAUDIU-ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"SCOALA CU CLASELE I-VIII SILISTEAII",399,ROMÂNI,124073,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:42",822,782,0,7,33,461,421,0,7,33,436,25,900,439,108,274,32,3,1,10,8
29,NEAMŢ,"SCOALA DANESTI",293,GIROV,122702,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:04",257,251,1,5,0,132,126,1,5,0,128,4,300,168,59,25,19,1,3,5,16
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",91,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:16:06",1229,1217,1,9,2,474,462,1,9,2,441,20,1300,838,147,171,29,5,7,51,31
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",92,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:22",1268,1259,0,8,1,554,545,0,8,1,534,20,1400,846,222,195,33,6,5,46,27
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP B",93,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:40:25",1294,1285,2,7,0,523,516,0,7,0,491,32,1400,877,153,183,34,9,8,63,41
29,NEAMŢ,"SCOALA DOINA",294,GIROV,122702,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:51",246,240,0,6,0,136,130,0,6,0,134,2,287,151,29,63,19,3,1,10,9
29,NEAMŢ,"SCOALA GENERALA",257,DRAGOMIREŞTI,122392,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:56:16",102,96,0,5,1,63,57,0,5,1,59,4,200,137,10,43,0,1,0,1,4
29,NEAMŢ,"SCOALA GENERALA",388,RĂZBOIENI,123969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:05:59",165,153,0,3,9,165,153,0,3,9,152,13,300,135,90,53,5,0,1,1,2
29,NEAMŢ,"SCOALA GENERALA",352,PETRICANI,123424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:39",734,734,0,0,0,470,470,0,0,0,451,19,800,330,360,41,23,2,1,11,13
29,NEAMŢ,"SCOALA GENERALA",354,PETRICANI,123424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:38",1435,1426,0,8,1,622,613,0,8,1,574,48,1501,879,387,52,90,3,0,20,22
29,NEAMŢ,"SCOALA GENERALA",390,RĂZBOIENI,123969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:42",297,270,3,2,22,216,191,1,2,22,192,11,396,180,88,81,13,2,1,0,7
29,NEAMŢ,"SCOALA GENERALA",244,DĂMUC,122249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:44:15",630,618,0,9,3,371,359,0,9,3,358,13,700,328,64,113,169,1,2,2,7
29,NEAMŢ,"SCOALA GENERALA",328,MĂRGINENI,123175,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:24",177,170,1,4,2,120,114,0,4,2,116,4,200,80,54,54,2,0,1,2,3
29,NEAMŢ,"SCOALA GENERALA",353,PETRICANI,123424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:23:18",1089,1089,0,0,0,518,518,0,0,0,504,14,1200,682,321,97,49,5,3,13,16
29,NEAMŢ,"SCOALA GENERALA",254,DRAGOMIREŞTI,122392,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:38:38",90,77,0,8,5,63,50,0,8,5,61,2,100,37,7,49,3,1,0,1,0
29,NEAMŢ,"SCOALA GENERALA",256,DRAGOMIREŞTI,122392,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:33:39",173,164,0,9,0,96,87,0,9,0,94,2,199,103,18,65,3,1,0,6,1
29,NEAMŢ,"ŞCOALA GENERALĂ",338,ONICENI,123255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:15",1073,1063,2,8,0,726,718,0,8,0,639,87,1200,434,437,146,38,0,1,4,13
29,NEAMŢ,"ŞCOALA GENERALĂ",330,MĂRGINENI,123175,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:55",219,210,0,3,6,127,118,0,3,6,116,11,300,173,76,28,3,0,1,5,3
29,NEAMŢ,"ŞCOALA GENERALĂ",241,CRĂCĂOANI,122187,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:56",250,242,0,7,1,152,144,0,7,1,145,7,299,147,78,40,21,2,0,4,0
29,NEAMŢ,"ŞCOALA GENERALĂ",239,CRĂCĂOANI,122187,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:38",829,817,0,9,3,427,415,0,9,3,393,34,899,472,107,196,42,7,5,24,12
29,NEAMŢ,"ŞCOALA GENERALĂ",335,ONICENI,123255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:05:48",619,617,0,2,0,356,354,0,2,0,338,18,700,344,286,20,25,0,0,0,7
29,NEAMŢ,"ŞCOALA GENERALĂ",326,MĂRGINENI,123175,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:57",900,872,0,12,16,456,428,0,12,16,427,29,900,444,220,144,28,5,2,15,13
29,NEAMŢ,"ŞCOALA GENERALĂ",337,ONICENI,123255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:08",332,330,0,2,0,181,179,0,2,0,172,9,400,219,145,10,14,0,0,0,3
29,NEAMŢ,"ŞCOALA GENERALĂ",329,MĂRGINENI,123175,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:12",729,698,0,12,19,451,420,0,12,19,432,19,800,349,105,283,27,3,2,6,6
29,NEAMŢ,"ŞCOALA GENERALĂ",339,ONICENI,123255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:30:03",281,277,0,4,0,163,159,0,4,0,152,11,300,137,110,8,24,0,0,2,8
29,NEAMŢ,"ŞCOALA GENERALĂ",243,DĂMUC,122249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:27:47",507,495,0,6,6,331,319,0,6,6,319,12,496,165,62,109,124,1,3,10,10
29,NEAMŢ,"ŞCOALA GENERALĂ",336,ONICENI,123255,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:10",259,256,0,3,0,185,182,0,3,0,176,9,300,115,138,20,14,0,0,1,3
29,NEAMŢ,"ŞCOALA GENERALĂ",240,CRĂCĂOANI,122187,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:15:03",578,561,0,10,7,364,347,0,10,7,351,13,600,236,177,118,22,2,0,16,16
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-IV NR. 3",389,RĂZBOIENI,123969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:21",475,449,0,6,20,252,226,0,6,20,246,6,599,347,128,75,19,1,2,16,5
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-VIII",387,RĂZBOIENI,123969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:29:11",591,565,0,5,21,397,372,0,5,20,385,12,704,300,169,154,44,0,2,13,3
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",120,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:30:51",743,737,0,6,0,384,378,0,6,0,372,12,800,416,134,134,51,7,8,27,11
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",121,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:47:52",1112,1098,0,14,0,478,464,0,14,0,453,25,1200,717,150,174,66,7,7,29,20
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",127,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:07:28",207,199,0,7,1,96,88,0,7,1,87,9,300,204,33,17,12,2,2,9,12
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",128,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:58:14",65,60,0,5,0,27,22,0,5,0,25,2,100,73,9,11,3,0,0,1,1
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",126,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:42",112,106,0,6,0,61,55,0,6,0,46,15,200,139,15,23,3,0,1,2,2
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",123,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:04",908,904,0,3,1,372,368,0,3,1,356,16,1000,614,100,159,50,5,4,22,16
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",124,"ORAŞ BICAZ",120968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:14",988,984,0,3,1,346,342,0,3,1,321,25,1100,754,99,133,41,7,4,20,17
29,NEAMŢ,"ȘCOALA GENERALĂ ROZNOV",129,"ORAŞ ROZNOV",124117,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:27:02",1678,1667,0,8,3,788,777,0,8,3,746,42,1800,1012,422,133,63,14,18,53,43
29,NEAMŢ,"ȘCOALA GENERALĂ SLOBOZIA",134,"ORAŞ ROZNOV",124117,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:17",1291,1285,0,6,0,623,617,0,6,0,567,56,1400,777,238,112,85,12,21,47,52
29,NEAMŢ,"SCOALA GIMNAZIALA",259,DRĂGĂNEŞTI,125132,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:15",564,547,1,11,5,343,327,0,11,5,317,10,595,268,87,185,32,0,0,4,9
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ",452,TIMIŞEŞTI,124661,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:02",1018,1015,0,2,1,516,513,0,2,1,490,23,1099,586,218,204,46,5,0,5,12
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ",165,BĂLŢĂTEŞTI,121242,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:16",1153,1150,0,2,1,659,656,0,2,1,616,43,1300,641,296,163,98,9,7,17,26
