precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ” VLADIMIR STREINU”",95,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:56:46",1482,1471,1,8,2,906,895,1,8,2,893,13,1620,714,392,385,66,50
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ” DOCTOR CONSTANTIN ANGELESCU”",94,"ORAŞ GĂEŞTI",65681,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 14:50:43",1174,1162,0,12,0,739,727,0,12,0,710,29,1280,541,346,283,56,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",92,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:06:05",902,896,0,4,2,528,522,0,4,2,512,14,990,462,240,204,40,28
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR.1",93,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:11:56",864,855,2,4,3,513,506,0,4,3,488,19,940,433,243,193,37,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",100,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:45",591,582,1,8,0,347,339,0,8,0,338,9,640,293,179,115,18,26
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",101,"ORAŞ GĂEŞTI",65681,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:36:32",1153,1139,1,13,0,733,720,0,13,0,717,16,1240,507,299,337,44,37
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",102,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:11:54",1556,1543,0,10,3,967,954,0,10,3,940,24,1710,746,407,440,58,35
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",99,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:20",1230,1215,0,11,4,692,677,0,11,4,675,17,1344,652,336,258,34,47
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",97,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:30",790,780,0,8,2,439,429,0,8,2,427,12,860,421,189,189,31,18
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",98,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:04",1096,1087,2,6,1,552,545,0,6,1,547,5,1200,648,265,217,40,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",96,"ORAŞ GĂEŞTI",65681,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:51:05",1250,1236,1,11,2,705,692,0,11,2,696,9,1370,665,334,283,38,41
