precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MINCIUNĂ FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PANAIT CIPRIAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","TUDORACHE GEORGEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"PROPRIETATE PRIVATĂ",175,MITRENI,100638,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:25:50",391,373,0,7,11,230,212,0,7,11,221,9,429,199,32,184,5
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1 VALEA ROȘIE",176,MITRENI,100638,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:26:30",1763,1714,0,19,30,1220,1171,0,19,30,1094,44,1904,766,298,786,10
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 MITRENI",174,MITRENI,100638,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:04:06",1121,1062,0,21,38,808,749,0,21,38,787,21,1175,367,199,574,14
