precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:23:57",1068,771,1,296,0,918,622,0,296,0,885,33,948,30,406,38,9,432
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:49:13",563,492,1,65,5,458,388,0,65,5,437,21,458,0,192,17,26,202
19,GIURGIU,"ŞCOALA STÂLPU",160,IEPUREŞTI,103693,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:43",247,210,0,31,6,218,181,0,31,6,208,10,220,2,71,7,1,129
