precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
2,ARAD,"PRIMĂRIA COMUNEI PILU",334,PILU,11735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:18",950,897,0,32,21,713,660,0,32,21,690,23,976,263,261,18,335,16,60
2,ARAD,"ŞCOALA GIMNAZIALĂ VĂRȘAND",335,PILU,11735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:27",840,805,5,11,19,589,558,1,11,19,571,18,886,297,282,49,202,4,34
