precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
18,GALAŢI,"GRĂDINIȚA BĂNEASA",233,BĂNEASA,75686,2,PART,PRCNCT,CL,CL_SV,"2024-06-15 10:21:42",1180,1122,0,13,45,696,638,0,13,45,666,30,1200,504,53,17,131,465
18,GALAŢI,"SCOALA PRIMARA ”ION VODA CEL VITEAZ ROSCANI",234,BĂNEASA,75686,5,PART,PRCNCT,CL,CL_SV,"2024-06-15 10:40:08",458,438,0,5,15,275,255,0,5,15,261,14,563,288,11,14,54,182
