precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANĂ FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMA IONUŢ-DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 PUTINEIU",254,PUTINEIU,153829,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:29",1034,973,0,36,25,756,695,0,36,25,727,29,1064,308,162,565
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 BĂDULEASA",255,PUTINEIU,153829,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:30",537,488,0,35,14,408,359,0,35,14,399,9,530,122,54,345
