precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","TOMOIAGĂ GHEORGHE-voturi"
35,SUCEAVA,"CASA DE CULTURĂ CIOCĂNEȘTI",257,CIOCĂNEŞTI,151451,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:33",930,916,0,2,12,570,556,0,2,12,569,1,1000,430,29,174,320,19,27
35,SUCEAVA,"ȘCOALA BOTOȘ",258,CIOCĂNEŞTI,151451,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:43",328,318,0,6,4,237,227,0,6,4,230,7,373,136,10,37,170,9,4
