precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BERTEA MĂDĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR VASILE-IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","DOMOCOŞ VALENTIN-PETRU-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi"
5,BIHOR,"CĂMIN CULTURAL",229,AŞTILEU,26742,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:20",523,509,2,11,1,316,303,1,11,1,309,7,520,204,8,297,4
5,BIHOR,"CĂMIN CULTURAL CĂLĂȚEA",227,AŞTILEU,26742,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:37",251,244,0,6,1,172,165,0,6,1,168,4,275,103,11,140,17
5,BIHOR,"CĂMIN CULTURAL CORNET",228,AŞTILEU,26742,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:07:50",215,209,0,6,0,157,151,0,6,0,155,2,230,73,6,147,2
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR 1 AȘTILEU",226,AŞTILEU,26742,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:46",1267,1251,2,10,4,754,740,0,10,4,743,11,1294,540,58,681,4
5,BIHOR,"ȘCOALA PRIMARĂ NR 2 PEŞTERE",230,AŞTILEU,26742,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:12",652,646,1,4,1,438,433,0,4,1,437,1,676,238,18,416,3
