precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANĂ PARASCHIV-PARTIDUL MIȘCAREA POPULARĂ-voturi","BERECHET CRISTEA-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTACHE ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi","BĂDĂUŢĂ EUGEN-STAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,6,PART,PRCNCT,P,P_SV,"2024-06-12 13:37:36",876,704,1,76,95,666,494,1,76,95,639,23,875,213,10,344,6,279
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,2,PART,PRCNCT,P,P_SV,"2024-06-12 06:25:28",142,120,0,8,14,118,96,0,8,14,115,3,148,30,1,20,0,94
