precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SPÎNU AUREL-COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANTONESCU LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TÎLVĂR VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STRÎMBEI IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GINERICA CRENGUŢA-NELA-PARTIDUL S.O.S. ROMÂNIA-voturi"
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:52:41",1662,1641,1,8,12,925,905,0,8,12,890,35,1814,889,22,277,563,11,17
41,VRANCEA,"CĂMINUL CULTURAL CÂNDEȘTI",153,DUMBRĂVENI,175938,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:10",1147,1120,2,13,12,643,617,1,13,12,618,25,1237,594,17,176,403,9,13
41,VRANCEA,"ȘCOALA PRIMARĂ ALEXANDRU VLAHUȚĂ DRAGOSLOVENI",154,DUMBRĂVENI,175938,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:01",917,885,1,19,12,546,514,1,19,12,528,18,980,434,8,286,216,10,8
