precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VĂDUVA IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","OANCEA VICTOR-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXANDRU SILVIU-MARIUS-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"SCOALA GIMNAZIALĂ CEPARI",149,CÂRLOGANI,126166,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:02",667,659,1,7,0,415,408,0,7,0,406,9,751,336,360,17,29
30,OLT,"SCOALA GIMNAZIALĂ CÎRLOGANI",148,CÂRLOGANI,126166,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:54",1127,1119,0,8,0,687,679,0,8,0,668,19,1302,615,638,3,27
