precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL CEHILOR DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SF. ELENA",228,CORONINI,53489,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:02",498,478,3,17,0,290,273,0,17,0,275,15,527,237,7,0,3,40,220,2,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ CORONINI",227,CORONINI,53489,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:31",1182,1141,0,27,14,890,849,0,27,14,858,32,1257,367,35,17,229,464,37,21,55
