precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIURGIU TÜNDE-RENÁTA-UNIUNEA SALVAȚI ROMÂNIA-voturi","ALEXANDRU LIVIU-GIGEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRGINEAN AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL - MIRĂSLĂU",319,MIRĂSLĂU,5755,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:36",713,696,0,8,9,416,399,0,8,9,404,12,766,350,72,148,184
1,ALBA,"ŞCOALA PRIMARĂ - CICĂU",320,MIRĂSLĂU,5755,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:55",79,72,0,5,2,44,37,0,5,2,44,0,80,36,5,20,19
1,ALBA,"ŞCOALA PRIMARĂ - DECEA",321,MIRĂSLĂU,5755,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:25:01",611,597,3,5,6,327,313,3,5,6,321,6,648,321,122,62,137
1,ALBA,"ŞCOALA PRIMARĂ - LOPADEA VECHE",322,MIRĂSLĂU,5755,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:22",209,206,0,3,0,130,127,0,3,0,127,3,224,94,46,33,48
1,ALBA,"ŞCOALA PRIMARĂ - ORMENIŞ",323,MIRĂSLĂU,5755,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:59:32",65,59,1,5,0,43,38,0,5,0,42,1,70,27,4,13,25
