precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞERBAN MARCEL-IULIAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM NORMAL DUMBRĂVIŢA",340,DUMBRĂVIŢA,40928,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:04:17",1775,1766,1,7,1,1062,1054,0,7,1,960,102,1931,869,201,103,266,26,19,12,333
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM NORMAL RACOȘ",404,RACOŞ,41701,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:20:35",1058,1052,2,4,0,706,701,1,4,0,590,116,1200,494,98,43,25,16,354,14,40
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM NORMAL SELIȘTAT",432,ŞOARŞ,41943,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:37",171,161,3,7,0,87,80,0,7,0,79,8,200,113,31,12,8,3,4,0,21
8,BRAŞOV,"GRADINITA CU PROGRAM NORMAL TIMISUL DE JOS",257,"ORAŞ PREDEAL",40303,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:18:34",321,316,1,4,0,171,167,0,4,0,162,9,351,180,39,14,43,15,8,4,39
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",226,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:32",1045,1033,0,12,0,494,482,0,12,0,481,13,1200,706,116,46,194,25,8,18,74
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",227,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:29:42",1105,1091,2,12,0,407,394,1,12,0,378,28,1200,793,77,59,145,26,7,8,56
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",30,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:40",851,841,1,8,1,380,371,0,8,1,364,16,1000,620,99,35,65,15,26,14,110
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",31,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:32:41",818,812,0,6,0,412,406,0,6,0,387,25,900,488,94,27,69,11,46,16,124
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT CINCU",326,CINCU,40820,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:25:55",1314,1267,7,20,20,803,762,1,20,20,716,87,1404,601,197,138,310,24,18,6,23
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",3,"MUNICIPIUL BRAŞOV",40198,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:08:15",920,915,0,5,0,443,438,0,5,0,438,5,1000,557,122,21,71,16,29,10,169
