precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MITRACHE CONSTANTIN-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAI CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GAVRILĂ VIRGIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂNOIU REMUS-FLORIN-PARTIDUL SOCIALIST ROMÂN-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL BLIDARI",248,GOLEŞTI,170220,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:38",880,856,0,20,4,649,625,0,20,4,623,26,940,291,370,240,8,5
40,VÂLCEA,"CĂMINUL CULTURAL POPEŞTI",247,GOLEŞTI,170220,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:46",790,752,0,23,15,522,484,0,23,15,501,21,830,308,304,174,18,5
40,VÂLCEA,"ŞCOALA POENIŢA",249,GOLEŞTI,170220,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:34",317,294,0,16,7,209,186,0,16,7,191,18,330,121,65,110,11,5
40,VÂLCEA,"ŞCOALA VĂTĂŞEŞTI",250,GOLEŞTI,170220,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:49",211,194,0,14,3,158,141,0,14,3,154,4,220,62,89,57,6,2
