precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IRIMIA DORINELA-PARTIDUL SOCIAL DEMOCRAT-voturi","IANCU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOITAN RODICA-PARTIDUL NAȚIONAL LIBERAL-voturi","EFTINCĂ EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ ”NICOLAE MARALOI” SARAIU",532,SARAIU,62823,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:45:44",618,585,0,7,26,446,413,0,7,26,432,14,626,180,339,11,43,39
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 1 DULGHERU",533,SARAIU,62823,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:47",451,432,0,8,11,271,252,0,8,11,262,9,473,202,184,2,72,4
