precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi"
30,OLT,"CAMINUL CULTURAL VIESPESTI",312,SPRÂNCENATA,129040,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 02:24:28",1058,988,0,48,22,707,637,0,48,22,662,45,1110,403,149,399,103,11
30,OLT,"GPN BIRSESTII DE SUS",313,SPRÂNCENATA,129040,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 10:02:01",392,325,0,62,5,287,220,0,62,5,267,20,362,75,94,129,35,9
30,OLT,"SCOALA VECHE FRUNZARU",314,SPRÂNCENATA,129040,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 10:19:08",500,476,0,18,6,365,341,0,18,6,348,17,523,158,84,204,46,14
