precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARCANU VASILE-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TIVIG VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","PIGUI COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","TIVIG SILVESTRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LOGĂSCU TIBERIU-NICOLAE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
20,GORJ,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCUȘI” PEŞTIŞANI",262,PEŞTIŞANI,81184,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:38:54",1340,1323,1,10,6,789,773,0,10,6,767,22,1400,611,186,23,460,50,48
20,GORJ,"ȘCOALA GIMNAZIALĂ PEȘTIȘANI",263,PEŞTIŞANI,81184,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:34",1318,1278,1,25,14,847,808,0,25,14,837,10,1400,553,162,15,568,21,71
20,GORJ,"ȘCOALA PRIMARĂ BRĂDICENI",264,PEŞTIŞANI,81184,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:36",508,504,0,4,0,335,331,0,4,0,332,3,610,275,174,4,134,8,12
