precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL ROMÂNI PENTRU ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",408,FÂNTÂNELE,133278,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:34",537,516,0,11,10,537,516,0,11,10,489,27,867,351,49,61,237,18,27,59,38
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",407,FÂNTÂNELE,133278,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:55:08",798,785,0,6,7,515,502,0,6,7,481,34,867,352,44,61,198,37,32,72,37
