precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDUCANU MITEL-RĂZVAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ENE MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEDELCU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"ŞCOALA CU CLS.I-IV",470,ROJIŞTE,74949,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:46",530,494,0,16,20,395,359,0,16,20,380,15,600,205,168,3,209
17,DOLJ,"ŞCOALA GIMNAZIALĂ ROJIŞTE",469,ROJIŞTE,74949,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:11",1535,1427,1,62,45,1011,903,1,62,45,961,50,1581,570,209,17,735
