precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:22",337,318,1,0,18,236,217,1,0,18,226,10,371,135,30,20,168,4,3,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂGURA ILVEI",181,"MĂGURA ILVEI",33729,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:54",1329,1266,0,1,62,851,788,0,1,62,803,48,1450,599,151,101,359,52,120,20
