precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"LICEUL TEHNOLOGIC IZVOARELE",236,IZVOARELE,127386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:37:49",893,866,2,12,13,541,516,0,12,13,523,18,950,409,28,223,116,146,10
30,OLT,"SCOALA GENERALA CU CLASELE I-VIII ALIMANESTI",237,IZVOARELE,127386,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:06:39",1856,1824,0,12,20,1185,1153,0,12,20,1121,42,2004,841,92,259,179,575,16
