precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGU MARIUS-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MORARU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂBĂRAŞ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
31,PRAHOVA,"GRĂDINIŢA DE COPII",573,ŞTEFEŞTI,135618,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:28",625,613,0,0,12,383,371,0,0,12,372,11,728,345,25,182,165
31,PRAHOVA,"SCOALA GIMNAZIALA STEFESTI",572,ŞTEFEŞTI,135618,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:21",1243,1216,1,2,24,730,703,1,2,24,719,11,1291,561,196,165,358
