precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SUCIU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","MARCUS IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRA DAVID-IOAN-VIOREL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","INAŞI IONUŢ-DENIS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MAXIM CLAUDIA-ADRIANA-voturi","POPA IOAN-MARIN-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:59:22",1820,1801,2,12,5,765,747,1,12,5,731,34,1975,1210,367,118,2,222,22,0
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:34",1726,1700,0,11,15,776,750,0,11,15,746,30,1800,1024,424,34,2,142,134,10
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:34",1595,1554,5,5,31,769,733,0,5,31,718,51,1800,1031,300,40,17,337,22,2
