precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞCA IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CORNEA TUDORICĂ-DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FERICEAN IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MANDU ELISABETA-MARIA-voturi"
2,ARAD,"CĂMIN CULTURAL PĂIUŞENI",233,CHISINDIA,10417,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:21",286,264,0,7,15,235,215,0,6,14,231,4,319,84,117,24,8,82
2,ARAD,"CĂMIN CULTURAL VĂSOAIA",234,CHISINDIA,10417,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:21",48,33,0,15,0,38,23,0,15,0,38,0,40,2,16,5,3,14
2,ARAD,"PRIMĂRIA COMUNEI CHISINDIA",232,CHISINDIA,10417,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:57:06",731,676,0,36,19,553,498,0,36,19,534,19,750,197,183,89,71,191
