precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OPRIŞA OVIDIU-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TUFĂ REMUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂRCUŞ MARCEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DAVID CRISTIAN-FELICIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:24:44",1991,1930,1,19,41,1040,980,0,19,41,996,44,2000,960,534,43,88,331
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA BILED",330,BILED,155911,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:38",1565,1507,2,7,49,799,743,0,7,49,764,35,1781,982,427,50,51,236
