precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ZOTICA NICOLAE-voturi","MATEI CONSTANTIN-voturi"
40,VÂLCEA,"AȘEZĂMÂNT CULTURAL BĂILE GOVORA ( FOST CINEMATOGRAF)",115,"ORAŞ BĂILE GOVORA",167641,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:58:10",1212,1085,1,120,6,823,697,0,120,6,808,15,1220,397,48,252,293,53,10,85,67
40,VÂLCEA,"LICEUL TEHNOLOGIC BĂILE GOVORA",116,"ORAŞ BĂILE GOVORA",167641,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:00",792,699,1,83,9,638,545,1,83,9,612,26,850,212,23,230,205,30,10,50,64
40,VÂLCEA,"ȘCOALA GENERALĂ CU CLASELE I-IV GĂTEJEȘTI",117,"ORAŞ BĂILE GOVORA",167641,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:21",325,302,0,17,6,201,178,0,17,6,190,11,360,159,18,47,64,28,3,25,5
