precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GAIŢĂ DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","DĂNILĂ ŞTEFAN-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"ȘCOALA CU CLASELE I-IV CIOROIU NOU",310,CIOROIAŞI,71812,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:02",392,361,0,18,13,263,232,0,18,13,250,13,400,137,30,220
17,DOLJ,"ȘCOALA CU CLASELE I-VIII CIOROIAȘI",309,CIOROIAŞI,71812,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:38",799,731,2,39,27,552,486,0,39,27,535,17,851,299,125,410
