precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:57:56",1741,1725,4,9,3,648,636,0,9,3,613,35,1902,1254,21,269,201,94,17,0,8,3
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:30",771,763,0,7,1,239,231,0,7,1,233,6,837,598,7,119,66,26,10,4,1,0
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:10",839,835,0,3,1,337,333,0,3,1,329,8,919,582,21,158,81,56,6,2,4,1
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 13:16:07",1470,1462,0,7,1,593,585,0,7,1,569,24,1608,1015,37,275,156,61,34,1,5,0
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,428,12,1124,684,24,219,123,34,17,4,5,2
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:10",825,809,6,10,0,410,400,0,10,0,392,18,885,475,16,192,129,29,11,1,8,6
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,382,11,1078,685,19,154,146,51,8,0,2,2
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:59",1145,1137,0,8,0,476,468,0,8,0,457,19,1251,775,22,255,114,41,17,0,7,1
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:33",905,896,1,7,1,433,425,0,7,1,417,16,982,549,45,206,109,27,18,1,10,1
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:21:49",929,919,1,8,1,352,343,0,8,1,339,13,1013,661,14,147,108,41,21,2,3,3
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:27:36",1699,1692,0,6,1,804,797,0,6,1,758,46,1603,799,19,436,185,74,30,2,8,4
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,5,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:03:22",887,877,1,8,1,287,278,0,8,1,274,13,966,679,13,109,88,32,19,1,9,3
