precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUTNARIU LIVIU-CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MIHĂIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SĂNDULESCU MIRCEA-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MARTINESCU ERWIN-EMILIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","MOTRESCU HORIA-MIHAI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",268,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:48",1400,1395,1,3,1,626,622,0,3,1,602,24,1500,874,149,54,105,36,258
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",267,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:38:12",1809,1786,9,13,1,1103,1089,0,13,1,986,18,2000,879,289,57,110,39,491
8,BRAŞOV,"GRUP ȘCOLAR INDUSTRIAL RÂȘNOV",269,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:32",1143,1135,3,5,0,617,612,0,5,0,592,24,1300,683,189,38,86,26,253
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 1 RÂȘNOV",260,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:32",1407,1401,0,6,0,701,695,0,6,0,667,34,1500,799,207,47,130,40,243
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 1 RÂȘNOV",259,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:30:18",1497,1488,2,6,1,803,796,0,6,1,780,23,1600,797,273,39,103,45,320
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",265,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:13",1384,1380,2,0,2,658,656,0,0,2,638,20,1500,842,212,50,92,31,253
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",266,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:42",1192,1180,6,3,3,591,584,1,3,3,568,23,1300,709,208,31,85,31,213
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 2 RÂȘNOV",264,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:53",1644,1637,0,7,0,776,769,0,7,0,759,17,1800,1024,213,65,82,51,348
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",262,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:00:12",1305,1296,8,0,1,652,651,0,0,1,637,14,1400,749,174,33,96,30,304
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",263,"ORAŞ RÂŞNOV",40367,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:50",867,861,1,5,0,411,406,0,5,0,405,6,1103,692,34,14,28,6,323
8,BRAŞOV,"ȘCOALA GENERALĂ NR. 3 RÂȘNOV",261,"ORAŞ RÂŞNOV",40367,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:16:10",1653,1644,6,2,1,900,897,0,2,1,863,37,1800,900,309,34,193,27,300
