precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIRON GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIJER NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","MOŞU GEORGIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOITAN ION-PARTIDUL S.O.S. ROMÂNIA-voturi","SĂULESCU MARIUS-IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL VADU PAŞII",393,"VADU PAŞII",49956,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:38",1658,1650,1,4,3,1039,1032,0,4,3,1008,31,1834,795,553,346,29,18,62
10,BUZĂU,"SALA DE FESTIVITĂŢI A PRIMĂRIEI COMUNEI VADU PAŞII",392,"VADU PAŞII",49956,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:25",1839,1820,0,6,13,1156,1137,0,6,13,1128,28,2024,868,674,373,23,10,48
10,BUZĂU,"SCOALA CIOCÂRLIA",395,"VADU PAŞII",49956,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:13",566,561,0,5,0,390,385,0,5,0,375,15,591,201,172,173,8,2,20
10,BUZĂU,"SCOALA FOCŞĂNEI",394,"VADU PAŞII",49956,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:27",1438,1426,0,6,6,869,857,0,6,6,848,21,1606,737,414,338,41,15,40
10,BUZĂU,"SCOALA GIMNAZIALA SCURTEŞTI",396,"VADU PAŞII",49956,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:26:48",1687,1667,1,11,8,1074,1054,1,11,8,1031,43,1807,733,512,445,43,10,21
10,BUZĂU,"ŞCOALA GIMNAZIALA STĂNCEŞTI",397,"VADU PAŞII",49956,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:48",1207,1198,0,4,5,825,816,0,4,5,787,38,1296,463,387,374,19,3,4
