precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LĂZĂRESCU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","LUNGANU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN ION-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"GRĂDINIȚĂ GRECI",303,SCHITU,128659,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:31",750,727,0,15,8,497,474,0,15,8,482,15,795,298,17,359,106
30,OLT,"ŞCOALA GIMNAZIALĂ SCHITU",302,SCHITU,128659,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:07:12",1073,1057,0,11,5,652,636,0,11,5,632,20,1155,503,131,466,35
30,OLT,"ŞCOALA PRIMARĂ LISA",304,SCHITU,128659,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:17",304,299,0,5,0,181,176,0,5,0,173,8,329,148,10,129,34
