precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VINCZE NÁNDOR-ŞTEFAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BRINDEA CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BAICU SORIN-DORU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOIA ANDREI-REMUS-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂLIBAN IOAN-PETRU-UNIUNEA NAȚIUNII ROMÂNE-voturi"
5,BIHOR,"CĂMINUL CULTURAL",620,TĂUTEU,31654,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:44:58",646,643,0,2,1,335,332,0,2,1,332,3,709,373,128,34,40,125,5
5,BIHOR,"CĂMINUL CULTURAL GITTAI ISTVÁN",618,TĂUTEU,31654,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:06",902,884,0,4,14,594,576,0,4,14,581,13,978,384,566,5,2,7,1
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR. 2",619,TĂUTEU,31654,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:19:41",1218,1199,0,6,13,582,563,0,6,13,556,26,1335,753,209,81,198,54,14
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.4 CIUTELEC",621,TĂUTEU,31654,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:35",534,516,0,5,13,308,290,0,5,13,295,13,579,271,56,92,13,96,38
5,BIHOR,"SCOALA PRIMARA",622,TĂUTEU,31654,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:03",223,213,0,10,0,128,118,0,10,0,126,2,232,104,60,12,16,33,5
