precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CLĂDIRE PRIMĂRIE - FOSTUL SEDIU CAP",258,GRĂDINARI,52990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:45",794,771,0,6,17,460,437,0,6,17,441,19,869,409,109,168,47,13,76,28
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ”PAVEL BORDAN” GRĂDINARI",257,GRĂDINARI,52990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:16",870,837,0,14,19,523,490,0,14,19,500,23,924,401,139,221,26,68,13,33
