precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MORUZ MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","PATRONIC ANDREEA-MĂDĂLINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MATIANU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi"
7,BOTOŞANI,"CAMIN CULTURAL",231,DIMĂCHENI,39959,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:59",178,164,2,2,10,121,108,1,2,10,118,3,202,81,94,20,4
7,BOTOŞANI,PRIMARIA,230,DIMĂCHENI,39959,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:17:12",838,769,0,19,50,592,523,0,19,50,577,15,900,308,477,85,15
