precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAXIM GABRIEL-CORNEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURGEA ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎLCU OCTAVIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","JINGA ION-voturi"
4,BACĂU,"GRĂDINIŢA FILIPEŞTI",283,BOGDĂNEŞTI,21560,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:40",507,504,1,2,0,230,228,0,2,0,216,14,600,370,135,64,10,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ BOGDĂNEŞTI",281,BOGDĂNEŞTI,21560,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:04",888,877,0,4,7,450,439,0,4,7,427,23,900,450,256,145,9,17
4,BACĂU,"ŞCOALA GIMNAZIALĂ BOGDĂNEŞTI",282,BOGDĂNEŞTI,21560,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:28",806,800,0,6,0,436,430,0,6,0,406,30,900,464,283,103,12,8
