precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA ARMENILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CENTRUL DE ÎNGRIJIRE ŞI ASISTENŢĂ BĂTRÂNI (DISPENSAR 7)",103,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:57",1830,1818,1,9,2,979,968,0,9,2,932,37,2000,1031,321,20,64,95,369,53,10
29,NEAMŢ,"CENTRUL DE PERMANENŢĂ DE LA DISPENSARUL MEDICAL NR. 6",83,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:02",1195,1185,1,8,1,428,419,0,8,1,414,14,1300,872,143,7,46,46,145,18,9
29,NEAMŢ,"COLEGIUL NAȚIONAL ”ROMAN VODĂ” - CORP A",76,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:11",1129,1123,3,3,0,491,487,1,3,0,476,15,1200,709,175,10,30,50,176,21,14
29,NEAMŢ,"COLEGIUL TEHNIC „DANUBIANA”",118,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:55:32",1230,1198,1,6,25,502,471,0,6,25,419,52,1300,798,161,11,6,31,187,15,8
29,NEAMŢ,"COLEGIUL TEHNIC „MIRON COSTIN”",99,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:46",1175,1166,0,9,0,322,313,0,9,0,300,22,1300,978,112,6,28,19,105,24,6
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP A",112,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:18",1128,1118,0,9,1,434,424,0,9,1,415,19,1200,766,129,11,53,53,132,32,5
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP B",113,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:35",1403,1386,9,8,0,613,605,0,8,0,590,23,1500,887,215,18,49,70,190,40,8
29,NEAMŢ,"CREŞA SMIRODAVA",96,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:59",1303,1297,2,4,0,496,491,1,4,0,471,25,1400,904,170,8,44,52,163,27,7
29,NEAMŢ,"DIRECŢIA DE ASISTENŢĂ SOCIALĂ ROMAN",104,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:55",1021,1011,3,7,0,412,405,0,7,0,391,21,1100,688,159,11,41,26,134,16,4
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 1 CU PROGRAM PRELUNGIT",98,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:43",1335,1329,1,4,1,497,492,0,4,1,482,15,1518,1021,183,7,49,50,159,27,7
