precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
8,BRAŞOV,"CAMIN CULTURAL HOMOROD",368,HOMOROD,41248,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 22:49:44",1205,1194,0,8,3,556,545,0,8,3,487,69,1300,744,285,99,56,33,14
8,BRAŞOV,"CAMIN CULTURAL JIMBOR",369,HOMOROD,41248,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 21:05:00",386,379,0,7,0,211,204,0,7,0,197,14,429,218,73,5,25,2,92
8,BRAŞOV,"CAMIN CULTURAL MERCHEASA",370,HOMOROD,41248,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 22:07:20",436,427,1,8,0,265,257,0,8,0,240,25,504,239,78,36,112,9,5
