precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOER VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BECHERU DUMITRU-MIHAI-voturi"
28,MUREŞ,"CĂMINUL CULTURAL TOLDAL",567,VOIVODENI,120316,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:30",168,163,1,2,2,98,94,0,2,2,95,2,180,82,87,8
28,MUREŞ,"ȘCOALA GIMNAZIALĂ VOIVODENI",566,VOIVODENI,120316,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:53",1303,1249,2,5,47,682,628,2,5,47,627,55,1377,695,591,36
