precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MIRON ALEXANDRU-voturi"
39,VASLUI,"CĂMINUL CULTURAL IBĂNEŞTI",347,IBĂNEŞTI,167222,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:38",522,511,0,5,6,315,304,0,5,6,301,14,565,250,74,17,191,8,11
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV, PUŢU OLARULUI",349,IBĂNEŞTI,167222,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:03",101,96,0,5,0,65,60,0,5,0,63,2,100,35,24,5,33,1,0
39,VASLUI,"ŞCOALA PRIMARĂ SAT. MÎNZAŢI",348,IBĂNEŞTI,167222,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:43",508,496,0,6,6,337,325,0,6,6,320,17,560,223,33,5,261,1,20
