precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARINA IONUŢ-BOGDĂNEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","PETRESCU ION-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRIGORESCU GEORGETA-OCTAVIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PANŢURESCU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRE GABRIEL-GHEORGHE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","BACIU NICOLAE-COSTIN-FORȚA DREPTEI-voturi","STEROIU VLĂDUŢ-MARIUS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PETRESCU DANIEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ” GEORGE TOPÎRCEANU” ( I )",125,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:27",1371,1354,7,8,2,613,603,0,8,2,594,19,1500,887,80,128,26,285,20,28,12,15
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ”GEORGE TOPÎRCEANU” (II)",133,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:59",1375,1354,18,3,0,584,581,0,3,0,569,15,1500,916,74,134,30,258,8,33,3,29
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( I )",120,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:58",1288,1279,4,5,0,474,469,0,5,0,459,15,1450,976,38,90,20,246,7,16,6,36
3,ARGEŞ,"GRUP ȘCOLAR AGRICOL ”CONSTANTIN DOBRESCU ARGEȘ” ( II )",121,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:50:46",1591,1581,0,10,0,571,561,0,10,0,555,16,1750,1179,86,99,30,249,14,30,8,39
3,ARGEŞ,"GRUP ȘCOLAR AUTO CURTEA DE ARGEȘ",132,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:47",1925,1919,1,5,0,789,784,0,5,0,752,37,2100,1311,61,199,66,311,16,36,4,59
3,ARGEŞ,"GRUP ȘCOLAR ”FERDINAND I”",119,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:28",1567,1562,0,5,0,624,619,0,5,0,611,13,1700,1076,66,137,48,276,11,28,6,39
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( I )",123,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:11",1261,1254,6,0,1,508,507,0,0,1,498,10,1401,893,46,119,35,227,2,36,4,29
3,ARGEŞ,"GRUP ȘCOLAR FORESTIER CURTEA DE ARGEȘ ( II )",124,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:35",1379,1360,14,5,0,531,526,0,5,0,523,8,1500,969,41,120,28,260,5,28,9,32
3,ARGEŞ,"ȘCOALA GENERALĂ NOAPTEȘ",135,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:15:20",777,771,0,6,0,363,357,0,6,0,351,12,1056,693,15,118,36,127,10,14,3,28
3,ARGEŞ,"ȘCOALA GENERALĂ NR.3 ”SFÂNTUL APOSTOL ANDREI”",134,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:12",1358,1355,2,1,0,555,554,0,1,0,541,14,1500,945,55,110,50,221,9,14,4,78
3,ARGEŞ,"ȘCOALA GENERALĂ NR.5 ”ARMAND CĂLINESCU” (I)",129,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:28",1304,1292,0,11,1,517,505,0,11,1,514,3,1450,933,76,115,51,209,6,31,3,23
3,ARGEŞ,"ȘCOALA GENERALĂ NR 5 ”ARMAND CĂLINESCU” (II)",130,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:43:14",991,981,2,6,2,390,381,1,6,2,386,4,1100,710,41,75,39,144,5,54,2,26
3,ARGEŞ,"ȘCOALA GENERALĂ VALEA SASULUI",131,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:55",855,853,0,2,0,399,397,0,2,0,385,14,950,551,28,71,39,204,12,18,2,11
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 ”CAROL I”",128,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:36",1479,1455,14,10,0,615,605,0,10,0,605,10,1600,985,79,158,46,233,9,20,7,53
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 ”CAROL I”",127,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:17",1207,1198,4,5,0,517,512,0,5,0,503,14,1300,783,48,159,45,186,5,27,2,31
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( I )",116,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:26:35",1430,1428,0,2,0,575,573,0,2,0,563,12,1600,1020,70,101,54,272,5,37,1,23
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( II )",117,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:32",1157,1155,0,2,0,480,478,0,2,0,466,14,1300,820,61,94,34,199,11,28,10,29
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.2 ”REGINA MARIA” ( III )",118,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:11:31",1599,1582,2,2,13,739,724,0,2,13,713,14,1750,1017,75,139,39,317,6,55,5,77
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.4 ” MIRCEA CEL BATRÂN”",126,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:43",1228,1220,4,4,0,534,530,0,4,0,518,16,1350,816,63,114,29,248,9,30,5,20
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.6 ”BASARAB I”",122,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:03",1328,1324,0,4,0,531,527,0,4,0,521,10,1450,919,60,112,20,248,9,24,4,44
