precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGHICI CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CATANA ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MELINTE ELEODOR-UNIUNEA SALVAȚI ROMÂNIA-voturi","ZLĂTĂRELU MIHĂIŢĂ-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"FOSTA ŞCOALĂ NEMOIU",163,AMĂRĂŞTI,168309,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:15",696,621,0,28,47,452,377,0,28,47,434,18,690,238,158,259,8,9
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ AMĂRĂŞTI",162,AMĂRĂŞTI,168309,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:37:44",867,787,0,42,38,570,490,0,42,38,554,16,870,300,231,319,2,2
