precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi"
3,ARGEŞ,"GRĂDINIȚA DOGARI",300,CIOMĂGEŞTI,15554,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:07",223,209,0,13,1,146,132,0,13,1,142,4,230,84,58,76,8
3,ARGEŞ,"SCOALA CIOMĂGEȘTI",299,CIOMĂGEŞTI,15554,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:15",360,306,0,43,11,290,236,0,43,11,278,8,346,60,97,162,19
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ BRĂTIA",298,CIOMĂGEŞTI,15554,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:33",381,319,1,51,10,300,239,0,51,10,292,8,350,50,108,102,82
