precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CURELEA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VLĂSCEANU PUIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ GHEORGHE DOJA SITUATĂ ÎN GHEORGHE DOJA",150,"GHEORGHE DOJA",93600,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:42",1063,1016,0,4,43,635,588,0,4,43,621,14,1173,538,552,69
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ GHEORGHE DOJA SITUATĂ ÎN GHEORGHE DOJA",149,"GHEORGHE DOJA",93600,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:09",1012,958,0,4,50,604,550,0,4,50,592,12,1116,512,519,73
