precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DEMIÁN ZSOLT-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DURNEA COSMIN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","KUTI KLÁRA-TÜNDE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SAS-ADĂSCĂLIŢII MARCEL-EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","IENCIU VALERIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CIARNĂU CLAUDIU-IOAN-voturi"
5,BIHOR,"CASA DE CULTURĂ MARGHITA",159,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:06",1121,1110,3,6,2,543,535,0,6,2,540,3,1251,708,291,48,8,153,12,28
5,BIHOR,"CLUBUL COPIILOR",160,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:11",1197,1174,2,9,12,575,554,0,9,12,569,6,1332,757,279,59,5,179,20,27
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",154,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:55",1547,1501,2,9,35,862,818,0,9,35,853,9,1657,795,417,107,13,266,14,36
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",155,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:50",1484,1456,2,8,18,793,766,1,8,18,778,15,1606,813,315,98,10,292,33,30
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",156,"MUNICIPIUL MARGHITA",26877,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:42",1227,1212,0,10,5,644,629,0,10,5,637,7,1340,696,252,91,3,247,17,27
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",158,"MUNICIPIUL MARGHITA",26877,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:31",1243,1223,2,12,6,641,623,0,12,6,634,7,1358,717,216,104,3,249,38,24
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",157,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:28",1163,1144,5,4,10,595,581,0,4,10,589,6,1270,675,245,84,4,213,19,24
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",162,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:01",986,974,0,5,7,427,415,0,5,7,411,16,1098,671,215,57,11,108,15,5
5,BIHOR,"LICEUL TEORETIC ” HORVÁTH JÁNOS ”",163,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:15",1405,1366,4,13,22,798,763,0,13,22,783,15,1525,727,450,62,9,206,22,34
5,BIHOR,"LICEUL TEORETIC ”HORVÁTH JÁNOS”",161,"MUNICIPIUL MARGHITA",26877,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:03",1275,1256,0,8,11,666,647,0,8,11,652,14,1407,741,376,53,13,167,10,33
5,BIHOR,"ŞCOALA CU CLASELE I-VIII CHEŢ",164,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:44",936,926,1,6,3,481,472,0,6,3,452,29,1027,546,293,28,5,118,3,5
5,BIHOR,"ŞCOALA CU CLASELE I-VIII GHENETEA",165,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:01",570,560,3,6,1,282,275,0,6,1,271,6,636,359,23,47,10,179,5,7
