precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRANIŞTE LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLADA ROBERT-LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","ARCĂLEANU MARIUS-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TRIFU ALIN-DAN-PARTIDUL PRO ROMÂNIA-voturi","PINTILIE CIPRIAN-VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",2,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:34:58",1499,1491,3,5,0,531,525,1,5,0,505,18,1600,1077,262,47,34,148,2,12
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",1,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:08:21",1391,1383,0,5,3,601,593,0,5,3,579,17,1400,804,324,50,45,147,6,7
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:22:04",1738,1733,0,5,0,12,7,0,5,0,12,0,1800,1788,2,1,3,2,1,3
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:44",1842,1834,1,7,0,144,137,0,7,0,138,6,2000,1856,77,12,9,36,1,3
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",28,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:14:32",943,936,0,6,1,259,252,0,6,1,248,11,1000,741,105,31,11,87,5,9
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",26,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:26:49",1777,1768,0,9,0,21,12,0,9,0,21,0,2000,1979,12,2,1,5,0,1
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:56:03",1859,1853,0,4,2,721,715,0,4,2,700,21,1853,1132,356,80,54,193,12,5
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",27,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:44",1725,1716,0,9,0,49,40,0,9,0,47,2,1800,1751,24,3,2,17,0,1
39,VASLUI,"CLUBUL PENSIONARILOR",85,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:59:10",1868,1860,0,8,0,23,15,0,8,0,21,2,2000,1977,6,6,3,5,1,0
39,VASLUI,"CLUBUL PENSIONARILOR",84,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:04:08",1788,1777,0,11,0,35,24,0,11,0,34,1,2000,1965,18,2,3,9,2,0
39,VASLUI,"CLUBUL ”PRIETENIA”",83,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:24:11",1579,1571,0,8,0,10,2,0,8,0,10,0,1600,1590,3,1,2,3,1,0
39,VASLUI,"CLUBUL ”PRIETENIA”",82,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:17:22",1517,1509,0,8,0,41,33,0,8,0,41,0,1600,1559,17,4,6,14,0,0
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",61,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:24",568,562,0,6,0,241,235,0,6,0,237,4,600,359,100,28,32,66,6,5
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",60,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:34",1716,1710,0,6,0,481,475,0,6,0,465,16,1800,1319,199,52,47,154,7,6
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL",72,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:09",1860,1855,3,2,0,869,867,0,2,0,849,20,2000,1131,461,104,54,184,31,15
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.12",46,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:10",1246,1239,0,5,2,449,442,0,5,2,420,29,1300,841,203,48,19,135,8,7
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",79,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:23:18",1927,1923,0,4,0,46,42,0,4,0,46,0,2000,1954,14,7,6,16,0,3
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",80,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:51",1885,1879,0,6,0,315,309,0,6,0,308,7,2000,1685,143,44,26,83,4,8
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 22",81,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:24:59",1868,1861,0,7,0,98,91,0,7,0,95,3,2000,1902,37,15,9,29,1,4
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.14",11,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:23:58",976,961,0,15,0,348,343,0,5,0,329,14,1000,657,135,49,41,88,13,3
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.14",10,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:26",1023,1016,0,6,1,374,367,0,6,1,358,16,1200,826,154,38,53,102,3,8
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",12,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:52",1392,1385,1,6,0,486,480,0,6,0,467,19,1600,1114,226,46,33,129,10,23
39,VASLUI,"GRADINITA CU PROGRAM PRELUNGIT NR.17",39,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:09:47",1803,1792,3,7,1,451,444,0,7,0,436,15,2000,1549,192,63,29,126,14,12
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3",47,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:33",1150,1144,0,5,1,445,439,0,5,1,422,23,1200,755,188,47,38,126,13,10
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",23,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:37:29",1712,1704,0,8,0,9,1,0,8,0,9,0,1800,1791,4,1,1,3,0,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",21,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:43:08",1764,1757,0,7,0,9,2,0,7,0,9,0,2000,1991,3,2,1,3,0,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",20,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:20:23",1767,1760,0,7,0,240,233,0,7,0,236,4,2000,1760,107,33,17,67,7,5
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",22,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:19:19",737,729,0,8,0,53,45,0,8,0,50,3,800,747,17,10,5,16,1,1
39,VASLUI,"GRADINITA CU PROGRAM PRELUNGIT NR. 6",38,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:15:17",1629,1619,0,10,0,40,30,0,10,0,40,0,1700,1660,24,3,3,9,1,0
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",35,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:13:26",1826,1816,0,10,0,21,11,0,10,0,21,0,2000,1979,11,1,1,6,2,0
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",36,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:44:30",780,771,0,9,0,18,9,0,9,0,18,0,800,782,6,3,1,8,0,0
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",34,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:47",1806,1793,3,8,2,568,558,0,8,2,553,15,2000,1432,272,50,31,172,17,11
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",37,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:48:48",1797,1790,0,7,0,9,2,0,7,0,9,0,2000,1991,5,1,1,1,1,0
39,VASLUI,"LICEUL ”ŞTEFAN PROCOPIU”",74,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:20:04",1957,1949,1,6,1,569,562,0,6,1,555,13,2000,1432,253,65,50,168,7,12
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",75,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:04:00",1061,1053,0,8,0,17,9,0,8,0,17,0,1200,1183,7,1,1,5,3,0
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",76,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:36:55",1818,1812,0,6,0,36,30,0,6,0,33,3,2000,1964,12,5,0,14,1,1
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",73,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:46:34",1730,1724,0,6,0,53,47,0,6,0,53,0,1800,1747,24,10,0,17,2,0
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",77,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:21:32",1723,1717,0,6,0,24,18,0,6,0,22,2,1800,1776,9,7,1,4,1,0
39,VASLUI,"LICEUL ”ȘTEFAN PROCOPIU”",78,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:53:51",1872,1863,0,8,1,16,7,0,8,1,16,0,2000,1984,4,0,2,9,1,0
39,VASLUI,"LICEUL TEORETIC „EMIL RACOVIŢĂ”",45,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:02:25",1820,1812,3,5,0,622,617,0,5,0,591,31,2000,1378,261,88,31,172,5,34
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",6,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:36",1659,1647,0,11,1,398,390,0,7,1,385,13,1700,1302,183,44,29,110,5,14
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",5,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:22",1676,1669,0,7,0,238,231,0,7,0,227,11,2600,2362,110,21,19,68,4,5
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",8,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:32:20",1749,1740,0,9,0,9,0,0,9,0,9,0,2600,2591,4,1,2,2,0,0
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",7,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:54:51",1808,1801,0,7,0,39,32,0,7,0,36,3,2800,2761,17,1,5,13,0,0
39,VASLUI,"LICEUL TEORETIC ”MIHAIL KOGĂLNICEANU”",9,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:03:35",1656,1648,0,8,0,10,2,0,8,0,10,0,2500,2490,3,1,0,3,3,0
39,VASLUI,"MINI SALĂ SPORT",87,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:25:05",1688,1679,0,9,0,12,3,0,9,0,12,0,1700,1688,6,1,0,5,0,0
39,VASLUI,"ROMSILVA - RA - FILIALA VASLUI",24,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:12",1675,1661,2,8,4,602,590,0,8,4,565,29,1700,1106,249,71,50,169,16,10
39,VASLUI,"SALA SPORTURILOR",48,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:30",1405,1398,1,5,1,503,497,0,5,1,488,15,1600,1097,261,43,33,135,8,8
39,VASLUI,"SALA SPORTURILOR",50,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:11:35",1700,1690,2,8,0,346,338,0,8,0,333,13,1800,1454,143,34,33,116,2,5
39,VASLUI,"SALA SPORTURILOR",49,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:10:28",1588,1580,1,6,1,189,182,0,6,1,184,5,1700,1511,79,20,23,50,8,4
39,VASLUI,"SC GOSCOM SA",86,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:29:29",1776,1769,0,7,0,62,55,0,7,0,62,0,2000,1938,34,5,5,14,2,2
39,VASLUI,"ŞCOALA GIMNAZIALĂ",70,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:26",1414,1411,0,3,0,521,518,0,3,0,504,17,1600,1079,260,77,22,121,17,7
39,VASLUI,"ŞCOALA GIMNAZIALĂ",71,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:13:32",1006,999,0,7,0,374,367,0,7,0,353,21,1000,626,195,54,15,82,2,5
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRA NECHITA”",56,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:11:10",1653,1642,0,0,11,347,347,0,0,0,337,10,1700,1353,121,48,27,130,6,5
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRA NECHITA”",57,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:46",1799,1797,0,2,0,418,416,0,2,0,402,16,2000,1582,153,54,34,143,7,11
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRA NICHITA”",58,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-09 23:39:42",1464,1461,0,3,0,4,1,0,3,0,4,0,1600,1596,1,2,0,1,0,0
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRA NICHITA”",59,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:27:06",1613,1610,0,3,0,472,469,0,3,0,448,24,1700,1228,185,56,39,151,6,11
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",64,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:04",1676,1667,1,8,0,411,403,0,8,0,393,18,1700,1289,169,60,25,104,7,28
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",66,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:56:46",1314,1304,0,9,1,47,37,0,9,1,46,1,1304,1257,17,3,5,20,1,0
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",65,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:23",1648,1638,1,8,1,517,508,0,8,1,505,12,1700,1183,236,44,38,165,15,7
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN MOTAȘ”",44,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:02",1038,1031,0,7,0,392,385,0,7,0,380,12,1200,808,162,47,24,125,10,12
