precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL BOȚEȘTI",242,BOŢEŞTI,14726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:01",651,639,0,6,6,508,496,0,6,6,478,30,700,192,68,220,119,71
3,ARGEŞ,"ŞCOALA PRIMARĂ MOŞTENI-GRECI",243,BOŢEŞTI,14726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:46",247,241,0,6,0,172,166,0,6,0,166,6,257,85,12,78,48,28
