precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARGHIROPOL OCTAVIAN-DĂNUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","ROŞU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI (ȘCOALA GENERALĂ BOZIENI)",215,BOZIENI,121876,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:35",891,881,0,4,6,469,459,0,4,6,455,14,1000,531,394,61
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI - ȘCOALA PRIMARĂ CUCI (ŞCOALA GENERALĂ BOZIENI)",216,BOZIENI,121876,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:47",644,638,0,3,3,340,334,0,3,3,326,14,700,360,223,103
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ BOZIENI - ȘCOALA PRIMARĂ IUCȘA (ŞCOALA GENERALĂ BOZIENI)",217,BOZIENI,121876,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:51:42",631,613,0,8,10,333,315,0,8,10,314,19,700,367,279,35
