precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KACSÓ LAIOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
28,MUREŞ,"CĂMIN CULTURAL TORBA",448,MĂGHERANI,118094,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:22:07",126,122,0,2,2,84,80,0,2,2,74,10,129,45,74
28,MUREŞ,"ŞCOALA GIMNAZIALĂ MĂGHERANI",446,MĂGHERANI,118094,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:44",625,598,1,2,24,327,300,1,2,24,291,36,687,360,291
28,MUREŞ,"ŞCOALA PRIMARĂ ŞILEA NIRAJULUI",447,MĂGHERANI,118094,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:56:26",331,304,0,3,24,203,176,0,3,24,197,6,341,138,197
