precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PREOTU ELENA-STELUŢA-UNIUNEA SALVAȚI ROMÂNIA-voturi","NASTASIA NECULAI-PARTIDUL NAȚIONAL LIBERAL-voturi","COZMA RODICA-PARTIDUL SOCIAL DEMOCRAT-voturi","LOGHIN ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNGUREANU LUDOVIC-PETRIŞOR-PARTIDUL MIȘCAREA POPULARĂ-voturi","IACOB IOAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL POIANA",334,NEGREŞTI,125169,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:00",312,295,0,7,10,178,161,0,7,10,170,8,400,222,32,17,72,21,25,3
29,NEAMŢ,"SCOALA GIMNAZIALA ”DUMITRU ALMAS” NEGRESTI",333,NEGREŞTI,125169,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:05:18",1140,1096,1,18,25,645,602,0,18,25,615,30,1200,555,139,145,198,103,20,10
