precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STANCU PETRE-PARTIDUL NAȚIONAL LIBERAL-voturi","BRABETE CONSTANTIN-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL GĂRĂGĂU",321,VÂRTOAPE,154932,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:07:36",541,496,0,20,25,405,360,0,20,25,392,13,550,145,177,209,6
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE JOS",322,VÂRTOAPE,154932,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:39",707,636,1,39,31,547,477,0,39,31,547,0,730,183,439,97,11
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE SUS",320,VÂRTOAPE,154932,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:29",839,756,0,58,25,629,546,0,58,25,616,13,819,190,268,233,115
