precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PINTE ILIE-AVRAM-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILIU SERGIU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"CĂMIN MOTIȘ",379,"VALEA VIILOR",145961,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:18:49",541,534,1,4,2,229,223,0,4,2,210,19,600,371,150,60
34,SIBIU,"CĂMIN VALEA VIILOR",378,"VALEA VIILOR",145961,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:01",1304,1241,3,5,55,645,584,1,5,55,601,44,1359,714,427,174
