precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","CHIRILESCU DORIN-voturi","LUNCANU CLARA-voturi"
4,BACĂU,"SCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",45,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:02",1197,1173,16,8,0,564,556,0,8,0,542,22,1320,756,43,165,3,40,161,14,19,23,43,21,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:54",1175,1163,6,6,0,535,529,0,6,0,518,17,1300,765,37,201,6,48,118,19,15,18,22,19,15
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",116,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:08",1322,1317,0,5,0,576,571,0,5,0,555,21,1500,924,50,171,5,40,160,13,16,37,32,19,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",118,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:15",1547,1532,11,4,0,669,665,0,4,0,645,24,1700,1031,51,213,3,51,157,13,6,51,46,33,21
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",117,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:31",1266,1257,4,5,0,562,556,1,5,0,551,11,1400,837,50,179,3,60,147,17,15,26,18,24,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",60,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:50",1286,1283,0,3,0,497,494,0,3,0,479,18,1400,903,64,121,4,49,126,30,10,36,18,11,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",58,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:39",1244,1240,0,4,0,522,518,0,4,0,491,31,1400,878,56,132,10,43,146,18,10,36,20,14,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",59,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:47",1345,1341,0,4,0,544,540,0,4,0,519,25,1498,954,55,152,3,53,150,18,7,28,29,13,11
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",61,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:21",1581,1577,0,4,0,730,726,0,4,0,690,40,1800,1070,65,221,3,45,208,33,9,54,28,12,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",57,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:16:30",1533,1527,3,3,0,637,634,0,3,0,589,48,1700,1063,62,142,11,75,116,53,32,58,22,10,8
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”DR.ALEXANDRU ŞAFRAN”",62,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:19",1848,1844,0,4,0,406,402,0,4,0,388,14,2000,1594,46,118,0,28,104,23,3,33,14,8,11
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”DR.ALEXANDRU ŞAFRAN”",63,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:44",1598,1593,1,4,0,543,539,0,4,0,523,20,1800,1257,55,166,10,55,119,29,8,44,15,13,9
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",53,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:04",1240,1230,3,6,1,412,405,0,6,1,393,19,1400,988,46,129,0,29,93,19,10,30,18,11,8
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",52,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:46",1167,1161,1,5,0,472,467,0,5,0,460,12,1299,827,41,146,3,44,115,21,12,37,15,18,8
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",55,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:36:03",1143,1134,5,4,0,405,401,0,4,0,388,17,1300,895,39,111,12,48,89,14,18,25,17,7,8
