precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DURESCU MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA FLORIN-GEORGICĂ-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL DÎNGEŞTI",168,BERISLĂVEŞTI,168675,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:27",256,248,0,5,3,171,163,0,5,3,165,6,266,92,22,134,9
40,VÂLCEA,"CĂMINUL CULTURAL RĂDĂCINEŞTI",169,BERISLĂVEŞTI,168675,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:28:03",518,500,1,5,12,338,320,1,5,12,322,16,560,222,82,207,33
40,VÂLCEA,"CĂMINUL CULTURAL ROBAIA",170,BERISLĂVEŞTI,168675,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:28:13",180,176,0,4,0,131,127,0,4,0,123,8,189,58,4,117,2
40,VÂLCEA,"CĂMINUL CULTURAL STOENEŞTI",167,BERISLĂVEŞTI,168675,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:59",776,760,1,8,7,513,498,0,8,7,494,19,850,337,36,382,76
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV SCĂUENI",171,BERISLĂVEŞTI,168675,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:32:58",372,362,0,7,3,279,269,0,7,3,272,7,414,135,58,208,6
