precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:02:58",177,151,0,18,8,139,113,0,18,8,135,4,170,31,4,15,81,35
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV CIURENI",306,ZALHA,143067,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:47:28",124,106,0,14,4,108,90,0,14,4,105,3,120,12,11,9,34,51
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV VALEA HRANEI",307,ZALHA,143067,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:22",72,51,0,18,3,62,41,0,18,3,56,6,70,8,1,7,27,21
33,SĂLAJ,"ȘCOALA CU CLASELE I-IV VALEA LUNGĂ",308,ZALHA,143067,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:54",130,109,0,16,5,114,93,0,16,5,111,3,120,6,3,4,55,49
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ NR.1 ZALHA",304,ZALHA,143067,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:59:23",272,200,2,63,7,208,136,2,63,7,202,6,220,12,7,2,59,134
