precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"INŢA VIORICA-PARTIDUL NAȚIONAL LIBERAL-voturi","BLEDEA VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","URSU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","JIAN DANIEL-AUREL-PARTIDUL S.O.S. ROMÂNIA-voturi","IANA NICOLAE-OVIDIU-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALMĂŞAN LIVIU-voturi"
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",140,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:36",463,450,0,12,1,207,194,0,12,1,199,8,496,289,8,8,102,10,1,70
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL RĂCHITOVA",144,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:51",290,279,0,11,0,152,141,0,11,0,151,1,308,156,7,9,67,7,0,61
11,CARAŞ-SEVERIN,"CREŞA CĂMIN",139,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:11:57",927,916,0,10,1,397,386,0,10,1,380,17,1015,618,10,16,184,52,1,117
11,CARAŞ-SEVERIN,"GRĂDINIŢA PN NR. 2",134,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:56",857,841,4,6,6,418,405,1,6,6,411,7,934,516,17,11,166,24,7,186
11,CARAŞ-SEVERIN,"GRĂDINȚA CU PROGRAM NORMAL",143,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:21",502,493,1,5,3,223,215,0,5,3,209,14,547,324,6,4,108,34,0,57
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ” MIHAI NOVAC” ORAVIŢA",135,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:08",1143,1128,1,9,5,456,442,0,9,5,443,13,1246,790,37,24,191,51,5,135
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”GENERAL DRAGALINA”",133,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:55",798,790,2,6,0,343,337,0,6,0,327,16,874,531,19,20,115,29,3,141
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR. 3 ORAVIŢA",132,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:20",976,965,0,8,3,410,399,0,8,3,399,11,1066,656,7,12,177,39,7,157
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ” ROMUL LADEA ”ORAVIŢA",136,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:28",1216,1178,10,23,5,514,486,0,23,5,503,11,1315,701,20,22,258,39,4,160
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ” ROMUL LADEA” ORAVIŢA",138,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:38",981,968,0,12,1,388,375,0,12,1,376,12,1069,681,16,14,200,35,5,106
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ”ROMUL LADEA” ORAVIŢA",137,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:55",1402,1395,1,4,2,550,543,1,4,2,537,13,1541,984,25,11,312,70,4,115
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ AGADICI",141,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:09:02",155,144,0,11,0,74,63,0,11,0,68,6,158,84,9,4,35,0,0,20
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BRĂDIŞORU DE JOS",142,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:34",435,422,0,11,2,182,169,0,11,2,178,4,466,284,12,13,105,5,2,41
